"P1: Before we start, please rate how familiar you are with the following concept(s):",P1: Which summary is the most helpful?,P1: Which summary provides the best overview of the post?,P1: Which summary provides the most comprehensive information?,P1: Which summary is the most concise without missing important information from the original post?,"P1: In practice, which summary would you like to see the most?","P2: Before we start, please rate how familiar you are with the following concept(s):",P2: Which summary is the most helpful?,P2: Which summary provides the best overview of the post?,P2: Which summary provides the most comprehensive information?,P2: Which summary is the most concise without missing important information from the original post?,"P2: In practice, which summary would you like to see the most?","P3: Before we start, please rate how familiar you are with the following concept(s):",P3: Which summary is the most helpful?,P3: Which summary provides the best overview of the post?,P3: Which summary provides the most comprehensive information?,P3: Which summary is the most concise without missing important information from the original post?,"P3: In practice, which summary would you like to see the most?","P4: Before we start, please rate how familiar you are with the following concept(s):",P4: Which summary is the most helpful?,P4: Which summary provides the best overview of the post?,P4: Which summary provides the most comprehensive information?,P4: Which summary is the most concise without missing important information from the original post?,"P4: In practice, which summary would you like to see the most?","P5: Before we start, please rate how familiar you are with the following concept(s):",P5: Which summary is the most helpful?,P5: Which summary provides the best overview of the post?,P5: Which summary provides the most comprehensive information?,P5: Which summary is the most concise without missing important information from the original post?,"P5: In practice, which summary would you like to see the most?","P6: Before we start, please rate how familiar you are with the following concept(s):",P6: Which summary is the most helpful?,P6: Which summary provides the best overview of the post?,P6: Which summary provides the most comprehensive information?,P6: Which summary is the most concise without missing important information from the original post?,"P6: In practice, which summary would you like to see the most?","P7: Before we start, please rate how familiar you are with the following concept(s):",P7: Which summary is the most helpful?,P7: Which summary provides the best overview of the post?,P7: Which summary provides the most comprehensive information?,P7: Which summary is the most concise without missing important information from the original post?,"P7: In practice, which summary would you like to see the most?","P8: Before we start, please rate how familiar you are with the following concept(s):",P8: Which summary is the most helpful?,P8: Which summary provides the best overview of the post?,P8: Which summary provides the most comprehensive information?,P8: Which summary is the most concise without missing important information from the original post?,"P8: In practice, which summary would you like to see the most?","P9: Before we start, please rate how familiar you are with the following concept(s):",P9: Which summary is the most helpful?,P9: Which summary provides the best overview of the post?,P9: Which summary provides the most comprehensive information?,P9: Which summary is the most concise without missing important information from the original post?,"P9: In practice, which summary would you like to see the most?","P10: Before we start, please rate how familiar you are with the following concept(s):",P10: Which summary is the most helpful?,P10: Which summary provides the best overview of the post?,P10: Which summary provides the most comprehensive information?,P10: Which summary is the most concise without missing important information from the original post?,"P10: In practice, which summary would you like to see the most?",Please list at most three characteristics of an ideal post summary,Any general thought before we end the survey?,"On the scale from 1-7, please rate how much you agree with the following statement: It is helpful to see a summary when reading a SO post."
7.0,1.0,2.0,2.0,1.0,1.0,7.0,3.0,3.0,2.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,4.0,1.0,1.0,1.0,2.0,1.0,7.0,1.0,2.0,2.0,1.0,1.0,7.0,3.0,3.0,2.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,4.0,1.0,1.0,1.0,2.0,1.0,"refer to resources, concise, contain a solution",Maybe the post should include source code and also retrieve information from hyper-links.,"refer to resources, concise, contain a solution"
5.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,6.0,1.0,1.0,1.0,1.0,1.0,5.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,6.0,1.0,1.0,1.0,1.0,1.0,"concise, comprehensive, informative","For many relatively short SO posts, like less than 30 lines maybe, having a glance at the original post doesnâ€™t seem to require much time, and a not perfect summary might be unhelpful","concise, comprehensive, informative"
6.0,3.0,2.0,2.0,1.0,2.0,1.0,1.0,3.0,3.0,1.0,1.0,4.0,2.0,3.0,3.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,5.0,1.0,3.0,1.0,1.0,1.0,6.0,3.0,2.0,2.0,1.0,2.0,1.0,1.0,3.0,3.0,1.0,1.0,4.0,2.0,3.0,3.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,5.0,1.0,3.0,1.0,1.0,1.0,"straight-forwad, comprehensive, give me link",N/A,"straight-forwad, comprehensive, give me link"
6.0,2.0,1.0,2.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,6.0,2.0,1.0,2.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,"include bold text, informative",N/A,"include bold text, informative"
1.0,1.0,3.0,2.0,1.0,1.0,5.0,1.0,1.0,2.0,2.0,1.0,1.0,3.0,3.0,2.0,1.0,3.0,6.0,2.0,2.0,3.0,2.0,2.0,5.0,1.0,1.0,2.0,1.0,1.0,4.0,1.0,1.0,2.0,1.0,1.0,6.0,1.0,1.0,2.0,3.0,1.0,5.0,1.0,1.0,2.0,1.0,1.0,5.0,1.0,1.0,2.0,3.0,1.0,2.0,3.0,3.0,1.0,3.0,3.0,"concise, informative","I want the summary to be concise and not missing important information, which could help me decide whether to read the post","concise, informative"
1.0,2.0,3.0,3.0,2.0,2.0,4.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,6.0,2.0,2.0,2.0,3.0,2.0,6.0,1.0,1.0,1.0,2.0,1.0,6.0,2.0,2.0,2.0,2.0,2.0,5.0,1.0,1.0,,2.0,1.0,5.0,2.0,2.0,2.0,2.0,2.0,6.0,2.0,2.0,2.0,2.0,2.0,6.0,2.0,2.0,2.0,1.0,2.0,"concise, comprehensive",I like to have post summaries so I can quickly get the gist of the idea,"concise, comprehensive"
3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,6.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,6.0,2.0,1.0,2.0,1.0,2.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,Concise,Not SO useful when it comes to short answers (especially the ones with code),Concise
1.0,3.0,3.0,2.0,3.0,3.0,3.0,1.0,2.0,,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,3.0,3.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,2.0,7.0,2.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,4.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,1.0,2.0,3.0,2.0,1.0,"concise, prefer code-related content",There are some minor typos in the user study sheet,"concise, prefer code-related content"
1.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,1.0,3.0,1.0,2.0,1.0,2.0,1.0,1.0,3.0,3.0,3.0,2.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,Concise & Comprehensive,Hope the summaries can help me to omit more useless information,Concise & Comprehensive
2.0,3.0,3.0,2.0,3.0,3.0,5.0,3.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,5.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,3.0,3.0,2.0,3.0,3.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,concise,N/A,concise
1.0,1.0,3.0,2.0,1.0,1.0,5.0,1.0,1.0,2.0,2.0,1.0,1.0,3.0,3.0,2.0,1.0,3.0,6.0,2.0,2.0,3.0,2.0,2.0,5.0,1.0,1.0,2.0,1.0,1.0,4.0,1.0,1.0,2.0,1.0,1.0,6.0,1.0,1.0,2.0,3.0,1.0,5.0,1.0,1.0,2.0,1.0,1.0,5.0,1.0,1.0,2.0,3.0,1.0,2.0,3.0,3.0,1.0,3.0,3.0,"concise, precise",No,"concise, precise"
1.0,2.0,3.0,3.0,2.0,2.0,4.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,6.0,2.0,2.0,2.0,3.0,2.0,6.0,1.0,1.0,1.0,2.0,1.0,6.0,2.0,2.0,2.0,2.0,2.0,5.0,1.0,1.0,,2.0,1.0,5.0,2.0,2.0,2.0,2.0,2.0,6.0,2.0,2.0,2.0,2.0,2.0,6.0,2.0,2.0,2.0,1.0,2.0,"Correctness, comprehensiveness, conciseness",N/A,"Correctness, comprehensiveness, conciseness"
